No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,nDay Buy Delay
10 (SHB),4704784.37,940.96,32.15,24.36,75.78,-866092.21,-27.56,-876406.28,-34.26,5.37,0.71,2.21,7.42,11.3,657935.75,0.36,13,1.46,0.67,0.0216,53,88769.52,7.36,28.43,21,39.62,5437952.89,258950.14,25.36,37.48,32,60.38,-733168.52,-22911.52,-4.44,22.5,9
9 (SHB),4482758.91,896.55,33.66,23.86,70.87,-689140.61,-27.56,-689140.61,-31.44,6.5,0.76,2.25,6.16,9.38,513409.69,0.36,14.56,1.27,0.62,0.0219,53,84580.36,6.91,28.62,21,39.62,5352259.47,254869.5,24.95,37.24,32,60.38,-869500.56,-27171.89,-4.93,22.97,8
8 (SHB),4376592.25,875.32,31.96,23.61,73.88,-865701.64,-26.46,-1595915.55,-36.47,2.74,0.65,2.03,5.34,8.27,591655.56,0.4,14.25,1.28,0.65,0.024,51,85815.53,7.47,29.31,20,39.22,5385928.58,269296.43,25.91,38.8,31,60.78,-1009336.33,-32559.24,-4.42,23.19,7
8 (TTF),3302470.22,660.49,22.16,20.78,93.79,-334153.51,-85.68,-430204.94,-34.77,7.68,0.6,2.7,6.11,8.05,406412.59,0.71,12.17,1.26,0.6,0.0424,51,64754.32,6.14,27.63,22,43.14,3949165.48,179507.52,26.42,37.68,29,56.86,-646695.26,-22299.84,-9.25,20,7
7 (SHB),2595126.98,519.03,33.43,18.49,55.31,-606426.52,-26.94,-1057130.02,-33.52,2.45,0.55,1.65,3.67,6.11,369966.23,0.39,15.16,0.86,0.61,0.0236,56,46341.55,6.66,25.89,21,37.5,3567651.18,169888.15,25.21,36.48,35,62.5,-972524.19,-27786.41,-4.46,19.54,6
2 (SHB),2549840.06,509.97,35.64,18.33,51.42,-572004.77,-23.96,-1129101.12,-32.26,2.26,0.57,1.59,2.84,4.06,384138.03,0.38,18.63,0.69,0.71,0.023,68,37497.65,5.75,19.41,28,41.18,3934149.35,140505.33,20.04,31.79,40,58.82,-1384309.29,-34607.73,-4.25,10.75,1
6 (TTF),2293029.52,458.61,19.36,17.36,89.68,-258940.8,-36.93,-356687.55,-21.33,6.43,0.81,4.2,5.82,5.82,394462.03,0.64,8.27,1.45,0.78,0.0386,54,42463.51,5.57,23.44,27,50,2768654.38,102542.75,18.22,34.19,27,50,-475624.86,-17615.74,-7.07,12.7,5
1 (SHB),2289883.01,457.98,37.68,17.35,46.04,-549937.58,-21.71,-1103618.05,-38.68,2.07,0.45,1.19,2.64,5.6,379803.85,0.33,18.72,0.64,0.65,0.02,78,29357.47,4.68,16.27,25,32.05,3683188.77,147327.55,22.62,34.16,53,67.95,-1393305.76,-26288.79,-3.78,7.83,0
3 (FLC),2266435.97,453.29,31.02,17.26,55.63,-618059.22,-25.56,-1259084.4,-48.07,1.8,0.36,1.16,1.86,3.21,386093.99,0.59,23.3,0.51,0.75,0.0355,49,46253.8,5.89,19.43,18,36.73,4897668.38,272092.69,24.62,30.89,31,63.27,-2631232.41,-84878.46,-4.98,12.77,2
11 (SHB),2232147.74,446.43,34.1,17.12,50.21,-421597.76,-26.38,-425301.89,-36.8,5.25,0.47,1.36,4.09,6.96,293462.02,0.37,13.71,0.86,0.57,0.0221,54,41336.07,6.2,28.87,20,37.04,2954174.57,147708.73,25.06,38.75,34,62.96,-722026.83,-21236.08,-4.89,23.06,10
4 (TTF),2199678.21,439.94,22.13,16.99,76.79,-336441.77,-37.06,-500455.35,-25.42,4.4,0.67,3.02,3.65,4.68,417542.54,0.62,10.8,1.07,0.73,0.0371,57,38590.85,4.97,21.96,25,43.86,3028914.02,121156.56,20.64,36.56,32,56.14,-829235.82,-25913.62,-7.28,10.56,3
3 (SHB),2177464.36,435.49,38.81,16.9,43.55,-539194.34,-24.34,-1027119.13,-52.8,2.12,0.32,0.82,2.77,3.89,391153.49,0.32,22.39,0.51,0.64,0.019,65,33499.45,5.47,20.82,27,41.54,3409823.41,126289.76,20.11,33.89,38,58.46,-1232359.05,-32430.5,-4.93,11.53,2
1 (VCB),2158465.46,431.69,47.81,16.82,35.19,-254247.68,-20.22,-343672.45,-40.03,6.28,0.42,0.88,2.59,4.28,280426.6,0.73,14.33,0.8,0.7,0.0439,69,31282.11,3.04,21.58,26,37.68,3516362.23,135244.7,13.65,41.23,43,62.32,-1357896.77,-31578.99,-3.38,9.7,0
