No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
6 (HAI),1107665.25,221.53,1.85,11.48,621.06,-1240418.34,-43.56,-1240418.34,-43.55,0.89,0.26,14.26,333.64,166.82,317094.26,0.41,23.53,0.26,2.1,0.0247,3,369221.75,73.98,27.67,2,66.67,1110995.22,555497.61,112.07,34,1,33.33,-3329.97,-3329.97,-2.2,15,50
10 (DRH),932368.15,186.47,4.09,10.29,251.56,-411201.63,-28.85,-475425.64,-24.92,1.96,0.41,10.09,13.95,48.84,236027.41,0.56,14.69,0.33,1.23,0.0333,9,103596.46,37.61,24.89,2,22.22,1004349.76,502174.88,181.61,79.5,7,77.78,-71981.62,-10283.09,-3.53,9.29,90
2 (HVG),766594.92,153.32,1.72,9.04,526.09,-211590.2,-17.63,-211590.2,-17.63,3.62,0.51,29.84, N/A, N/A,185509.75,0.18,2,1.82, N/A,0.0107,1,766594.92,153.52,47,1,100,766594.92,766594.92,153.52,47,0,0,0,  N/A,  N/A,  N/A,10
7 (SSI),762386.26,152.48,12.32,9,73.04,-246515.34,-18.31,-278495.46,-20.67,2.74,0.44,3.53,7.12,5.08,79899.34,0.92,11.51,0.31,1.63,0.0553,12,63532.19,9.21,29.08,7,58.33,887026.08,126718.01,17.75,44.14,5,41.67,-124639.83,-24927.97,-2.74,8,60
3 (VJC),556909.01,111.38,6.88,7.21,104.85,-141962.22,-13.73,-141962.22,-13.64,3.92,0.53,7.69,8.35,41.74,165423.69,0.38,3.98,0.46,1.1,0.0229,6,92818.17,21.15,32,1,16.67,632701.64,632701.64,137.53,156,5,83.33,-75792.63,-15158.53,-2.13,7.2,20
3 (HVG),538021.38,107.6,1.98,7.03,355.5,-173405.42,-19.67,-173405.42,-19.67,3.1,0.36,18.07,6.96,6.96,145789.97,0.12,7.27,0.22,2.36,0.0074,2,269010.69,67.72,27.5,1,50,628250.82,628250.82,153.52,47,1,50,-90229.44,-90229.44,-18.07,8,20
9 (VCB),532488.95,106.5,14.32,6.98,48.77,-105812.98,-16.05,-144284.79,-23.07,3.69,0.3,2.11,3.71,3.25,101026.84,0.54,14.53,0.11,0.98,0.0322,15,35499.26,5.65,27.07,8,53.33,728758.09,91094.76,14.77,42.88,7,46.67,-196269.14,-28038.45,-4.78,9,80
9 (REE),531522.86,106.3,13.21,6.97,52.79,-139531.09,-37.57,-178312.21,-29.07,2.98,0.24,1.82,5.85,4.09,53276.63,1.06,9.73,0.16,1.52,0.0637,17,31266.05,6.25,26.18,10,58.82,641166.8,64116.68,12.72,39.3,7,41.18,-109643.95,-15663.42,-3,7.43,80
6 (FIT),502728.68,100.55,3.77,6.69,177.44,-293433.25,-22.64,-293433.25,-22.64,1.71,0.3,7.84, N/A, N/A,141734.84,0.42,12.02,0.11, N/A,0.0251,1,502728.68,100.68,102,1,100,502728.68,502728.68,100.68,102,0,0,0,  N/A,  N/A,  N/A,50
9 (VHG),501582.09,100.32,2.74,6.68,243.43,-300521.76,-22.1,-374984.32,-27.57,1.34,0.24,8.83,8.66,43.3,98791.69,0.02,24.11,0.05,1.32,0.0013,6,83597.01,15.63,17,1,16.67,567069.5,567069.5,114.5,55,5,83.33,-65487.41,-13097.48,-4.15,9.4,80
3 (HSG),488918.32,97.78,3.02,6.55,216.71,-85983.96,-9.09,-85983.96,-12.01,5.69,0.55,18.05,18.41,55.22,88338.64,0.08,5.33,0.22,1.81,0.005,4,122229.58,25.99,21.25,1,25,517007.08,517007.08,109.69,67,3,75,-28088.76,-9362.92,-1.91,6,20
7 (HNG),464766.21,92.95,4.27,6.31,147.56,-133436.43,-14.74,-142785.61,-15.76,3.25,0.4,9.36,159.7,53.23,84005.47,0.49,7.14,0.13,2.71,0.0293,4,116191.55,21.72,35.25,3,75,467694.82,155898.27,29.22,46,1,25,-2928.61,-2928.61,-0.78,3,60
6 (HAG),464371.87,92.87,4.59,6.3,137.37,-167981.85,-16.86,-179209.93,-22.22,2.59,0.28,6.18,9.87,6.58,71563.58,0.72,13.87,0.07,2.15,0.043,5,92874.37,16.19,25.6,3,60,516750.77,172250.26,29.97,40,2,40,-52378.9,-26189.45,-4.47,4,50
10 (HBC),463904.3,92.78,8.41,6.3,74.89,-75478.07,-16.54,-157868.02,-29.79,2.94,0.21,2.51,4.78,14.33,138196.83,0.4,7.91,0.11,0.59,0.0241,16,28994.02,4.21,21.13,4,25,586692.38,146673.09,30.3,52.5,12,75,-122788.07,-10232.34,-4.49,10.67,90
5 (SHB),460038.28,92.01,4.54,6.26,137.79,-101826.14,-15.7,-101826.14,-12.19,4.52,0.51,11.3,17.78,11.85,97700.79,0.59,5.97,0.14,2.37,0.0355,5,92007.66,21.67,33.8,3,60,487458.92,162486.31,37.18,48.67,2,40,-27420.63,-13710.32,-1.59,11.5,40
6 (PVC),458547.5,91.71,4,6.24,156.01,-155075.38,-22.99,-198453.56,-20.98,2.31,0.3,7.44,6.09,7.61,102508.69,0.62,8.47,0.1,1.35,0.0371,9,50949.72,16.86,20.89,4,44.44,548658.34,137164.58,44.44,37.25,5,55.56,-90110.84,-18022.17,-5.2,7.8,50
