No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
6 (SCR),797828.36,159.57,6.08,9.28,152.69,-240169.09,-25.73,-347745.16,-27.01,2.29,0.34,5.65,6.6,4.4,131298.31,0.41,20.19,0.19,2.2,0.0245,5,159565.67,27.89,35.4,3,60,940384.82,313461.61,50.8,52,2,40,-142556.47,-71278.23,-6.47,10.5,50
8 (PVX),681929.41,136.39,6.53,8.34,127.63,-248351.4,-26.51,-307030.68,-32.75,2.22,0.25,3.9,5.99,7.49,159162.04,0.54,16.33,0.18,1.63,0.0326,9,75769.93,12.59,20.44,4,44.44,818546.61,204636.65,34.11,39,5,55.56,-136617.21,-27323.44,-4.62,5.6,70
8 (FLC),596471.57,119.29,4.42,7.58,171.63,-257866.51,-24.79,-305414.44,-24.78,1.95,0.31,6.93,4.8,12.01,179635.46,0.44,15.81,0.14,1.62,0.0262,7,85210.22,14.93,18.86,2,28.57,753295.21,376647.61,64.08,45,5,71.43,-156823.64,-31364.73,-4.73,8.4,70
7 (SCR),593752.79,118.75,6.86,7.56,110.15,-240169.09,-25.73,-291782.89,-25.13,2.03,0.3,4.38,4.08,8.16,111129.18,0.56,17.22,0.13,1.45,0.0336,12,49479.4,9.76,17.67,4,33.33,786439.91,196609.98,34.23,39.25,8,66.67,-192687.12,-24085.89,-2.47,6.88,60
9 (DRH),572210.89,114.44,2.26,7.36,324.86,-83163.98,-13.75,-101061.01,-9.28,5.66,0.79,35,14.53,43.59,146410.91,0.54,5.31,0.37,1.66,0.0324,4,143052.72,71.91,26.5,1,25,614498.93,614498.93,300.73,91,3,75,-42288.05,-14096.02,-4.37,5,80
9 (CDO),503698.03,100.74,11.41,6.7,58.7,-320079.6,-24.19,-320079.6,-24.18,1.57,0.28,2.43, N/A, N/A,120251,0.57,14.42,0.09, N/A,0.0341,1,503698.03,101,307,1,100,503698.03,503698.03,101,307,0,0,0,  N/A,  N/A,  N/A,80
6 (BVH),497422.52,99.48,3.91,6.64,169.8,-178441.5,-21.51,-178441.5,-21.41,2.79,0.31,7.93, N/A, N/A,127809.97,0.41,12.79,0.1,1.95,0.0248,4,124355.63,23.08,27.25,4,100,497422.52,124355.63,23.08,27.25,0,0,0,  N/A,  N/A,  N/A,50
8 (VCB),497294.84,99.46,9.11,6.64,72.84,-117280.4,-11.87,-149342.39,-13.02,3.33,0.51,5.59,5.25,8.41,106754.63,0.61,6.58,0.19,1.3,0.0364,13,38253.45,6.34,20,5,38.46,614174.05,122834.81,19.51,43,8,61.54,-116879.21,-14609.9,-1.89,5.63,70
9 (VHG),484041.65,96.81,2.67,6.5,243.94,-300521.76,-33.33,-376474.32,-27.68,1.29,0.23,8.81,6.82,37.52,101617.91,-0.01,24.66,0.04,0.78,-0.0003,13,37233.97,6.51,15.31,2,15.38,567177.85,283588.93,64.29,49,11,84.62,-83136.2,-7557.84,-4,9.18,80
7 (DXG),475226.98,95.05,4.2,6.41,152.64,-120834.93,-17.01,-143391.16,-12.82,3.31,0.5,11.91,9.85,9.85,118560.98,0.44,6.74,0.15,1.57,0.0264,6,79204.5,16.62,27,3,50,528930.46,176310.15,39.36,49.33,3,50,-53703.47,-17901.16,-6.13,4.67,60
