No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
9 (KSB),1235415.96,247.08,10.8,12.28,113.69,-321797.97,-27.13,-340354.15,-28.68,3.63,0.43,3.96,8.33,9.72,162239.25,0.55,9.61,0.72,1.46,0.0329,13,95032,13.53,31.46,6,46.15,1403912.94,233985.49,34.91,52.17,7,53.85,-168496.98,-24071,-4.81,13.71,80
9 (SHB),1115434.66,223.09,15.06,11.53,76.6,-374125.96,-21.71,-789823.71,-32.84,1.41,0.35,2.33,2.75,4.94,222041.64,0.27,10.58,0.58,0.89,0.0159,28,39836.95,10.12,18.61,10,35.71,1754614.69,175461.47,35.42,40.1,18,64.29,-639180.03,-35510,-3.93,6.67,80
9 (VCB),1001420.72,200.28,17.95,10.77,60.03,-193382.35,-13.51,-264113.9,-18.1,3.79,0.6,3.32,3.47,3.91,169234.38,0.75,10.38,0.52,1.14,0.0448,17,58907.1,8.59,30.24,8,47.06,1406514.89,175814.36,23.68,51,9,52.94,-405094.17,-45010.46,-4.82,11.78,80
10 (FIT),860495.25,172.1,13.43,9.76,72.72,-297978.65,-22.64,-297978.65,-41.79,2.89,0.23,1.74,4.36,8.72,168970.09,0.34,18.03,0.24,0.85,0.0204,21,40975.96,7.75,23.43,7,33.33,1116465.29,159495.04,32.24,43,14,66.67,-255970.03,-18283.57,-4.49,13.64,90
9 (VND),802304.05,160.46,9.8,9.32,95.08,-126190.69,-18.9,-154212.2,-19.32,5.2,0.48,4.92,9.4,7.52,67259.97,1.23,8.13,0.48,1.31,0.0737,27,29714.96,10.26,29.89,15,55.56,897847.41,59856.49,21.59,43.6,12,44.44,-95543.37,-7961.95,-3.91,12.75,80
7 (SCR),796032.34,159.21,6.77,9.27,136.93,-240169.09,-25.73,-273482.22,-26.03,2.91,0.36,5.26,11.23,11.23,94328.55,0.97,14.09,0.27,1.87,0.058,8,99504.04,16.85,25.25,4,50,873878,218469.5,35.67,39.5,4,50,-77845.66,-19461.41,-1.98,11,60
9 (FLC),680930.49,136.19,9.72,8.33,85.68,-257504.34,-24.79,-327249,-31.5,2.08,0.26,2.72,4.13,9.29,112573.25,0.78,14.34,0.2,1.11,0.047,13,52379.27,8.72,21.54,4,30.77,898708.72,224677.18,36.27,38.5,9,69.23,-217778.24,-24197.58,-3.53,14,80
7 (HSG),582794.59,116.56,4.09,7.46,182.3,-94145.63,-8.85,-94145.63,-13.43,6.19,0.56,13.58,15.63,10.42,94689.67,0.16,6.68,0.31,1.58,0.0095,5,116558.92,23.85,28.8,3,60,622618.64,207539.55,42.18,45,2,40,-39824.05,-19912.02,-3.65,4.5,60
10 (REE),579867.87,115.97,20.84,7.43,35.64,-168976.58,-37.57,-353820.57,-28.07,1.64,0.26,1.27,2.19,2.33,92730.58,0.65,13.26,0.15,1.02,0.0392,33,17571.75,3.93,23.3,16,48.48,1065605.63,66600.35,12.16,38.63,17,51.52,-485737.76,-28572.81,-3.81,8.88,90
9 (GAS),559780.88,111.96,16.2,7.24,44.71,-80368.54,-11.22,-184069.67,-20.53,3.04,0.35,2.18,3,4.71,82185.22,0.9,7.21,0.26,1.16,0.0541,18,31098.94,5.23,26.56,7,38.89,840044.22,120006.32,18.33,46,11,61.11,-280263.34,-25478.49,-3.1,14.18,80
