No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
9 (DRH),1350930.37,270.19,6.36,12.95,203.59,-411201.63,-28.85,-411201.63,-21.59,3.29,0.6,9.43,14.62,12.18,278640.99,0.6,7.58,1,1.28,0.0361,11,122811.85,39.58,31.55,6,54.55,1450122.93,241687.16,76.83,49.33,5,45.45,-99192.56,-19838.51,-5.13,10.2,80
8 (SHB),1106542.48,221.31,16.37,11.47,70.09,-290212.57,-21.71,-290212.57,-35.48,3.81,0.32,1.98,5.49,10.37,240281.05,0.19,25.41,0.24,0.72,0.0114,26,42559.33,7.96,18.46,9,34.62,1352968.8,150329.87,30.01,38.44,17,65.38,-246426.31,-14495.67,-3.72,7.88,70
8 (VCB),1003129.43,200.63,18.83,10.79,57.28,-153246.39,-11.87,-170645.68,-11.85,5.88,0.91,4.83,4.23,3.81,172302.05,0.6,6.58,0.82,1.22,0.0359,19,52796.29,6.61,27.89,10,52.63,1313496.94,131349.69,16.02,42.8,9,47.37,-310367.51,-34485.28,-3.85,11.33,70
9 (PVS),776672.97,155.33,15.05,9.12,60.59,-387349.93,-20.94,-601758.08,-32.53,1.29,0.28,1.86,2.37,2.9,141379.76,0.73,17.59,0.21,0.87,0.0435,20,38833.65,7.9,26.2,9,45,1342690.87,149187.87,26.41,48.89,11,55,-566017.89,-51456.17,-7.25,7.64,80
9 (VJC),760932.37,152.19,11.22,8.99,80.14,-153053.01,-13.73,-153053.01,-13.69,4.97,0.66,5.85,10.09,7.57,192883.65,0.4,3.19,1.13,0.98,0.0238,7,108704.62,20.65,44.14,4,57.14,844668.03,211167.01,37.87,68.5,3,42.86,-83735.66,-27911.89,-2.31,11.67,80
8 (HAI),746890.06,149.38,3.69,8.88,240.23,-1173844.98,-43.56,-1448502.21,-53.74,0.52,0.17,4.47,3.45,5.18,255153.77,0.37,29.58,0.12,1.36,0.022,5,149378.01,39.9,25,2,40,1051472.3,525736.15,112.07,34,3,60,-304582.24,-101527.41,-8.22,19,70
8 (KSB),733085.58,146.62,9.32,8.76,94.01,-236018.27,-23.43,-245470.62,-25.59,2.99,0.34,3.67,7.45,9.32,90595.39,0.32,7.04,0.48,1.48,0.0194,9,81453.95,12.29,29.33,4,44.44,846703.65,211675.91,32.96,50.5,5,55.56,-113618.07,-22723.61,-4.25,12.4,70
7 (CTG),730042.02,146.01,16.86,8.74,51.83,-148050.86,-12.07,-152524.14,-16.97,4.79,0.51,3.05,3.62,4.53,77358.91,0.45,8.99,0.37,1.13,0.0268,27,27038.59,3.73,18.67,12,44.44,1008286.07,84023.84,11.82,33.83,15,55.56,-278244.04,-18549.6,-2.73,6.53,60
9 (GAS),670806.02,134.16,14.18,8.24,58.13,-421668.87,-22.95,-680390.09,-36.98,0.99,0.22,1.57,3.03,3.46,126858.42,0.7,18.31,0.16,1.22,0.0419,15,44720.4,6.75,28.2,7,46.67,1001299.96,143042.85,19.94,45.43,8,53.33,-330493.94,-41311.74,-4.79,13.13,80
9 (BID),633736.91,126.75,9.82,7.92,80.61,-170092.49,-18.89,-225745.19,-19.83,2.81,0.4,4.06,5.29,7.93,107514.88,0.55,8.69,0.29,1.42,0.0332,10,63373.69,9.98,27.6,4,40,781626.07,195406.52,30.2,47.5,6,60,-147889.16,-24648.19,-3.5,14.33,80
