No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
6 (SHB),2905162.26,581.03,14.85,19.55,131.63,-615122.9,-21.71,-615122.9,-21.71,4.72,0.9,6.06,13.98,21.75,478712.21,0.3,10.51,1.35,1.1,0.0178,23,126311.4,13.38,20.26,9,39.13,3128913.97,347657.11,38.78,40.11,14,60.87,-223751.71,-15982.26,-2.94,7.5,50
5 (FLC),2030212.04,406.04,11.08,16.29,147.05,-390783.66,-24.79,-524403.11,-24.78,3.87,0.66,5.93,11.39,9.49,383733.09,0.68,11.61,0.94,1.58,0.0408,11,184564.73,31.37,32.36,6,54.55,2225594.48,370932.41,59.13,49.17,5,45.45,-195382.44,-39076.49,-1.93,12.2,40
9 (TTF),942041.53,188.41,13.57,10.36,76.35,-366233.4,-29.82,-456579.65,-37.09,2.06,0.28,2.06,2.57,3.6,114587.9,0.44,21.14,0.23,0.91,0.0265,24,39251.73,6.82,20.63,10,41.67,1542094.9,154209.49,27.57,39.9,14,58.33,-600053.37,-42860.96,-8.01,6.86,80
8 (DRH),918468.88,183.69,5.97,10.19,170.83,-411201.63,-28.85,-449116.62,-24.05,2.05,0.42,7.1,4.26,9.38,269600.14,0.5,17.53,0.27,0.97,0.0301,16,57404.31,20.28,19.06,5,31.25,1199941.13,239988.23,77.01,41.8,11,68.75,-281472.25,-25588.39,-5.5,8.73,70
9 (FIT),761420.61,152.28,5.06,8.99,177.76,-184417.04,-18.03,-184417.04,-15.94,4.13,0.56,11.15, N/A, N/A,179334.59,0.58,6.9,0.52,2.74,0.0346,4,190355.15,30.79,39,4,100,761420.61,190355.15,30.79,39,0,0,0,  N/A,  N/A,  N/A,80
9 (SHS),711926.74,142.39,8.92,8.59,96.27,-204635.3,-23.65,-221996.95,-19.81,3.21,0.43,4.86,7.21,7.21,110265.18,0.58,13.31,0.24,1.25,0.0345,18,39551.49,7.21,21.78,9,50,826534.97,91837.22,18.71,34.78,9,50,-114608.23,-12734.25,-4.28,8.78,80
9 (VHG),699336.59,139.87,9.55,8.48,88.8,-432866.7,-40.72,-951676.84,-44.73,0.73,0.19,1.98,2.05,3.7,187412.3,0.15,33.49,0.09,0.87,0.0088,28,24976.31,8.51,16.86,10,35.71,1362927.19,136292.72,35.76,32.4,18,64.29,-663590.59,-36866.14,-6.63,8.22,80
8 (BVH),686608.1,137.32,10.74,8.38,78.02,-245711.11,-20.39,-474914.68,-30.83,1.45,0.27,2.53,2.6,4.34,192925.05,0.32,16.1,0.18,1.1,0.0192,16,42913.01,8.2,22.31,6,37.5,1115051.61,185841.93,29.05,42.67,10,62.5,-428443.51,-42844.35,-4.31,10.1,70
5 (SBT),641626.61,128.33,6.99,7.99,114.3,-262996.81,-18.73,-299293.84,-21.28,2.14,0.38,5.37,12.85,15.42,131352.91,0.64,10.6,0.24,1.42,0.0386,11,58329.69,10.19,21.09,5,45.45,695755.26,139151.05,24.4,38.4,6,54.55,-54128.65,-9021.44,-1.65,6.67,40
7 (HSG),614929.22,122.99,7.31,7.75,106.01,-96937.78,-19.42,-151325.18,-22.14,4.06,0.35,4.79,4.59,9.18,95609.23,0.19,9.09,0.26,1.28,0.0113,18,34162.73,14.47,22.33,6,33.33,786281.87,131046.98,50.02,54,12,66.67,-171352.65,-14279.39,-3.3,6.5,60
